region,article_count,population,high_quality_count,article_coverage,high_quality_pct
NORTHERN AMERICA,1921,365,99,5.263013698630137,0.05153565851119209
ASIA,11531,4536,310,2.5421075837742504,0.026884051686757438
OCEANIA,3128,41,66,76.29268292682927,0.021099744245524295
EUROPE,15864,746,322,21.265415549597854,0.020297528996469996
AFRICA,6851,1284,125,5.335669781931464,0.01824551160414538
LATIN AMERICA AND THE CARIBBEAN,5169,649,69,7.964560862865947,0.013348810214741729
